Date,Open,High,Low,Close,Volume
2022-03-22 12:00:00,3020.74,3027.86,2998.48,3009.72,19825.229
2022-03-22 13:00:00,3009.73,3014.53,2988.28,3002.37,20621.9765
2022-03-22 14:00:00,3002.37,3030.15,3002.37,3008.51,27374.7022
2022-03-22 15:00:00,3008.5,3018.74,3002.04,3002.76,15856.4359
2022-03-22 16:00:00,3002.75,3013.74,2994.05,2999.01,23241.9332
2022-03-22 17:00:00,2999.01,3011.74,2995.82,3006.93,12081.6208
2022-03-22 18:00:00,3006.93,3009.42,2990.0,3000.5,11277.4594
2022-03-22 19:00:00,3000.5,3013.87,2981.0,2984.52,18549.364
2022-03-22 20:00:00,2984.52,3008.52,2982.92,3001.28,10325.4245
2022-03-22 21:00:00,3001.27,3016.39,3000.48,3015.49,9258.1051
2022-03-22 22:00:00,3015.48,3015.49,2993.18,2999.8,11145.5178
2022-03-22 23:00:00,2999.79,3000.42,2960.0,2969.64,22765.8448
2022-03-23 00:00:00,2969.64,2979.65,2960.8,2974.2,15914.2032
2022-03-23 01:00:00,2974.21,2974.21,2925.3,2959.04,32584.9025
2022-03-23 02:00:00,2959.05,2992.66,2954.16,2975.75,20693.6353
2022-03-23 03:00:00,2975.75,2980.0,2946.73,2947.0,12120.0194
2022-03-23 04:00:00,2947.01,2959.5,2920.65,2937.69,23067.4019
2022-03-23 05:00:00,2937.69,2951.22,2928.08,2948.21,11114.5666
2022-03-23 06:00:00,2948.21,2962.73,2943.96,2957.07,14023.8571
2022-03-23 07:00:00,2957.08,2958.83,2941.37,2948.94,10078.3615
2022-03-23 08:00:00,2948.95,2961.66,2933.65,2955.69,16564.2205
2022-03-23 09:00:00,2955.7,2962.94,2943.65,2955.66,14560.2632
2022-03-23 10:00:00,2955.65,2972.46,2950.0,2960.08,12786.8212
2022-03-23 11:00:00,2960.08,2962.99,2942.55,2949.33,11536.6629
2022-03-23 12:00:00,2949.32,2966.58,2938.0,2962.8,16161.5657
2022-03-23 13:00:00,2962.79,2969.55,2948.01,2953.03,17712.9491
2022-03-23 14:00:00,2953.04,3005.79,2950.89,3003.22,34324.0925
2022-03-23 15:00:00,3003.22,3039.38,2996.2,3031.59,38643.6927
2022-03-23 16:00:00,3031.59,3045.2,3005.04,3015.47,26971.6412
2022-03-23 17:00:00,3015.48,3017.57,2958.5,2964.89,28970.3555
2022-03-23 18:00:00,2964.9,2975.0,2953.74,2954.87,21147.9862
2022-03-23 19:00:00,2954.87,2975.58,2952.55,2962.96,13247.8055
2022-03-23 20:00:00,2962.97,2988.0,2960.39,2981.83,13126.5663
2022-03-23 21:00:00,2981.83,3004.81,2972.85,2997.38,11138.0022
2022-03-23 22:00:00,2997.37,3016.66,2997.01,3004.56,15245.7834
2022-03-23 23:00:00,3004.57,3038.41,2992.41,3036.0,22227.3742
2022-03-24 00:00:00,3035.99,3081.07,3029.29,3048.35,58137.6781
2022-03-24 01:00:00,3048.35,3050.73,3012.1,3026.85,29049.006
2022-03-24 02:00:00,3026.85,3034.82,2999.11,3032.04,22558.4722
2022-03-24 03:00:00,3032.04,3041.76,3015.53,3016.63,15589.0554
2022-03-24 04:00:00,3016.64,3029.4,3014.27,3026.68,12646.9227
2022-03-24 05:00:00,3026.69,3053.39,3019.04,3047.34,16274.5314
2022-03-24 06:00:00,3047.34,3071.49,3040.6,3056.83,24612.8058
